,Unnamed: 0,字段,标题
587,,00:00,美国农业部（USDA）：预计美国玉米期末库存12.42亿蒲式耳，分析师预期12.7030亿蒲式耳，USDA此前预计14.32亿蒲式耳。
586,,00:03,【赵明：不排斥荣耀在合适时机上市 但更重要是构建面向未来的核心能力】有传闻称荣耀计划近期上市，荣耀CEO赵明对此表示否认。他表示，荣耀未来肯定会更加开放和透明，融资渠道也会多元化，不排斥未来在合适的机会上市。但目前更重要的是构建面向未来的核心能力，荣耀的团队不会追求一夜暴富。
585,,00:04,美国众议院民主党议员ESHOO：众议院应修改加密税收申报规定。
584,,00:13,【赵明：荣耀海外份额几乎跌到0 将重新恢复运作】荣耀CEO赵明接受了媒体采访表示，荣耀的市场份额几乎跌到0。荣耀50系列正在准备海外发货和销售，目前荣耀在全球50多个国家恢复运作，荣耀50系列可能会在其中30几个国家上市，支持谷歌GMS服务。“今年海外的重点还是恢复渠道和运作能力。国内市场份额最低只有3%，现在反弹到14.6%，相信海外市场也会走出这个曲线。”他说。（新浪科技）
583,,00:19,据株洲发布：自2021年8月13日0时起，将株洲市云龙示范区学林街道学府港湾小区和锦绣香江小区调整为低风险地区。
582,,00:22,【菲律宾棉兰老岛附近海域发生5.5级地震】中国地震台网正式测定：08月12日23时53分在菲律宾棉兰老岛附近海域（北纬6.21度，东经127.30度）发生5.5级地震，震源深度40千米。
581,,00:24,以太坊跌破3000美元/枚，日内跌幅超5%。
580,,00:32,【富满电子董秘回应蓝普视讯举报：价格是市场行为 由买卖双方自己选择】针对蓝普视讯举报公司“不正当加价”事项，富满电子董秘罗琼今日晚间表示：“蓝普视讯会从多家拿货，也会从代理商拿货，我们无权干涉。市场那么多家供应商，价格（变动）是市场行为，由买卖双方自己选择。（至于被控诉事项）一切以工商、法院裁决为准，我们相信政府。”（财联社）
579,,00:35,CBOT小麦期货2112合约创8年新高，最高一度到772.5美分/蒲式耳。
578,,00:39,德国基民盟主席Laschet称将于周五会见特斯拉CEO埃隆·马斯克。
577,,00:44,欧盟将于9月份针对通用移动充电器提出立法建议。
576,,00:46,据巴西报纸Estado：巴西的黄金储备在3个月内几乎翻了一番。
575,,00:47,美国疾控中心主管Walensky：上周美国每天约新增11.3万例新冠肺炎确诊病例。
574,,00:50,美国疾控中心主管Walensky：美国食品药品监督管理局（FDA）正在与辉瑞和莫德纳合作，以为免疫系统受损的弱势人群提供加强针。
573,,00:52,【美国疾控中心顾问13日将讨论民众是否需要额外接种新冠疫苗】美国联邦政府公报显示，美国疾病控制与预防中心的疫苗顾问将于8月13日就民众是否需要接种额外剂量的新冠疫苗，包括加强剂量进行讨论，并对建议与计划进行投票。据已知信息，美国疾控中心的免疫实践咨询委员会议程包括为免疫功能低下人群提供加强针以及更新现有的新冠疫苗剂量，而会议议程草案尚未增加表决的相关内容。
572,,00:54,美国国家过敏症和传染病研究所所长福奇：目前至少有117个国家出现德尔塔变种病毒。
571,,01:02,美国财政部拍卖270亿美元30年期国债，得标利率2.040%，投标倍数2.21。（预发行交易利率为2.030%，上月投标倍数为2.19）
570,,01:04,美国白宫新冠疫情顾问Zients：美国将在今年年底前运送捐赠的2亿剂新冠疫苗；辉瑞捐赠的疫苗将在未来几天内开始运送。
