,Unnamed: 0,字段,标题
157,,09:30,澳大利亚二季度进口价格指数季环比 1.9%，预期 1%，前值 0.2%。澳大利亚二季度出口价格指数季环比 13.2%，预期 9.9%，前值 11.2%。
155,,09:32,钠离子电池板块开盘走高，欣旺达涨近9%，圣阳股份、宁德时代、鹏辉能源跟涨。
156,,09:32,第三代半导体板块开盘拉升，铭普光磁涨停，高测股份、斯达半导、台基股份跟涨。
154,,09:33,【创业板指涨逾3%】指数走强，创业板指拉升涨逾3.02%，沪指涨1.25%，深成指涨2.32%，HIT电池、氟化工、盐湖提锂等涨幅居前。
153,,09:34,港股手游股涨幅居前，心动公司涨超10%，金山软件涨超7%，中手游、创梦天地涨超4%。
152,,09:34,氟化工板块开盘强势，永和股份封涨停，联创股份、中矿资源、雅克科技、永太科技等跟涨。
151,,09:34,【国债期货涨幅迅速扩大 10年期主力合约涨0.2%】国债期货涨幅迅速扩大，10年期主力合约涨0.2%，5年期主力合约涨0.13%，2年期主力合约涨0.06%。
150,,09:34,香港恒生指数涨幅收窄至2%，此前一度涨近3%。
149,,09:35,【婴童概念股继续走强】长江健康、爱婴室2连板，海伦钢琴、奇德新材、美吉姆、金发拉比等冲高。
148,,09:37,【中国证监会原副主席高西庆：中国资本市场高质量发展需要提高上市公司质量】在2021中国资本市场高质量发展峰会上，中国证监会原副主席高西庆表示，中国资本市场已经迎来了而立之年。其高质量发展需要提高上市公司质量，而这正需要政府部分的帮助。（银柿财经）
147,,09:37,光伏板块大幅走高，嘉寓股份封涨停，秀强股份、启迪设计、东南网架、亚玛顿等跟随拉升。
146,,09:38,【光伏、BIPV概念股全线走高】创业板九洲集团、嘉寓股份涨停，安科瑞、迈为股份、启迪设计、芯能科技、秀强股份、拓日新能等涨超7%。
145,,09:40,港股互联网医疗板块全线走高，京东健康涨11.5%，阿里健康涨6.7%，众安在线涨4%，平安好医生涨3.7%。
144,,09:42,有色板块开盘拉升，华峰铝业涨停，鑫铂股份、鼎胜新材、新疆众和、焦作万方、北方稀土跟涨。
143,,09:44,【上半年我国海洋生产总值四万亿元】记者近日从自然资源部海洋战略规划与经济司获悉：经初步核算，上半年我国海洋生产总值达4万亿元，同比增长12.5%。市场需求逐步回升，多数指标处于合理区间，海洋经济总体呈现稳中向好态势。（人民日报）
142,,09:44,【锂电池板块早盘再度走高】湘潭电化、中国宝安双双涨停，欣旺达、海目星、久吾高科、融捷股份、江特电机涨超8%。
141,,09:46,华为海思概念股持续拉升，铭普光磁涨近7%，飞荣达、宏达电子、惠伦晶体跟涨。
140,,09:46,港股半导体板块拉升，华虹半导体涨近7%，上海复旦涨近6%，中芯国际涨超4%。
139,,09:47,【香港中大研究团队以粪便细菌基因检测大肠癌 灵敏度逾九成】昨日，香港中文大学公布该校医学院研究团队利用一项新技术，通过检验粪便的细菌基因侦测大肠癌，灵敏度高达94%。这个团队利用超过1100名癌症病人的粪便样本，检验一共4组名为“M3”的特定细菌基因。结果显示，通过“M3”识别大肠癌患者灵敏度高达94%，远高于传统的大便隐血测试，效果媲美入侵性的大肠镜检查。
138,,09:49,【剑指资金违规流入房地产市场 上海银保监局连开17张罚单】上海银保监局近期对在沪多家银行连开17张罚单，金额合计910万元，主要案由就是因为部分流动资金贷款违规流入房地产市场。从罚单信息来看，上述银行包括农业银行、工商银行、建设银行等五大行在内的在沪分支机构。（上海证券报）
137,,09:49,回港中概股集体上扬，万国数据涨17.5%，华住集团涨13.5%，中通快递涨9%，小鹏汽车、百度、宝尊电商均涨超5%。
136,,09:50,【上海进一步加强对国内疫情中高风险地区来沪返沪人员健康管理】上海市防控办发布通知：根据疫情防控有关要求，本市进一步加强对国内疫情中高风险地区来沪返沪人员健康管理。所有来自或途经国内疫情中高风险地区的来沪返沪人员，应在抵沪后尽快且不得超过12小时向所在居村委和单位（或所住宾馆）报告。对所有来自或途经国内疫情高风险地区的来沪返沪人员，一律实施14天集中隔离健康观察，实行2次新冠病毒核酸检测。
135,,09:52,市场消息，汽车电池制造商Clarios据悉推迟美国IPO。
134,,09:54,【港股荣晖国际涨超11%】港股荣晖国际涨超11%，预期上半年纯利同比增长约406%至6.5亿港元。
133,,09:54,【安徽芜湖完成城区第一轮全员核酸检测，均为阴性】7月25日，芜湖市发现1例南京禄口机场新冠肺炎疫情关联的无症状感染者。为有效防范风险，防止疫情扩散，迅速启动全市城区全员新冠病毒核酸检测，三天内在芜湖市城区采样、检测2294753人，结果均为阴性。（人民日报）
130,,09:55,【香港金管局：保持谨慎 管理好市场波动可能带来的风险】香港金管局称，香港市场方面，货币市场继续保持有序运作，银行体系流动性充裕，港元汇率及拆息稳定。金管局会继续监察市场情况，按照联系汇率制度维持货币及金融稳定。
132,,09:55,港股京东集团一度上涨9%，创去年11月5日以来最大盘中涨幅。
131,,09:55,山西：7月17日以来，有湖南张家界市等旅居史的人员请主动报备并做核酸检测。（央视新闻）
129,,09:57,抗病毒概念股早盘再度拉升，沃森生物涨超9%，康希诺涨逾7%，博晖创新、金域医学、万泰生物、复星医药跟涨。
127,,09:59,东京奥组委报告新增24例奥运会相关人员新冠肺炎确诊病例。
128,,09:59,三星预计本月越南业务将正常化，三星表示印度生产线没有受到新冠肺炎的影响。
126,,10:02,【春秋航空日本公司拟每年引进1架新飞机】廉价航空公司春秋航空日本公司日前举行业务战略说明会，6月上任的米泽章社长透露了以每年约1架的速度增加飞机的方针。该公司计划在保持新航线开通和现有路线班次增加的均衡的同时，不断扩大业务。春秋航空日本公司6月成为日本航空的合并子公司。（日经中文网）
125,,10:03,【马斯克：特斯拉持有比特币数量接近4.2万枚】推特用户“Dave Lee”发推文称，马斯克和特斯拉持有42069枚比特币，以6月30日收盘价35040美元来计算，价值约14.7亿美元。特斯拉CEO埃隆·马斯克回复表示，我们没有那么多比特币，但已经很接近了。
124,,10:05,【半导体芯片产业链股反弹】创业板新莱应材涨停，康强电子、派瑞股份、闻泰科技、富瀚微、国科微、阿石创等涨幅居前。
123,,10:06,交银国际：腾讯控股维持“买入”评级，目标价降至774港元。
122,,10:07,港股恒大概念股集体拉升，恒大汽车涨近17%，中国恒大涨超5%，恒大物业涨超3%。
121,,10:11,光刻胶板块大幅拉升，新莱应材、蓝英装备涨停，容大感光涨超14%，南大光电、同益股份、广信材料、高盟新材等跟涨。
120,,10:11,【北京防汛部门建议全市不涉及城市运行的机关企事业单位29日下午采取弹性工作制或提前下班】北京市防汛指挥部29日早晨发布提示：7月29日至7月30日，北京市将有大到暴雨，请市民减少出行，避让积水路段，远离河道和危险山区。建议全市不涉及城市运行的机关、企(事)业单位7月29日下午采取弹性工作制或提前下班，确保安全。
119,,10:12,【环旭电子：越南厂第一条产线预计近期正式投产】环旭电子在互动平台表示，越南厂克服疫情造成的困难，已完成一期工程并通过验收，第一条产线预计近期正式投产。
118,,10:16,现代汽车与LG Energy Solution将在印尼成立合资公司，斥资11亿美元以建立一间电动车电池厂，预计工厂将于今年第四季开始建设，并将于2023年上半年完工。
117,,10:17,富时中国A50指数期货涨幅收窄至约1%。
116,,10:19,军工股短线走强，鸿远电子涨近10%，中航重机涨超8%，天秦装备、中航光电等纷纷跟涨。
115,,10:20,【国开行发行100亿元“长江经济带发展”专题绿色金融债券】国家开发银行28日面向全球投资人成功发行100亿元“长江经济带发展”专题“债券通”绿色金融债券，所募资金将用于向长江经济带的节能环保产业和基础设施绿色升级等相关项目提供贷款。该债券发行期限为3年，票面利率为2.28%，债券符合境内外绿色债券标准。（证券时报）
114,,10:21,【上半年我国交通固定资产投资超1.5万亿元 主要指标稳中向好】交通运输部新闻发言人孙文剑介绍，今年上半年，交通运输经济正在加快回到疫情前的运行态势，主要指标运行趋于平稳、稳中加固、稳中向好。交通投资规模持续高位运行，货运量、港口货物吞吐量保持较快增长水平，客运量延续恢复态势，客运结构加速优化，铁路民航客运量占比持续提高，中心城市轨道交通客运量已恢复到疫情前水平。上半年，完成交通固定资产投资超过1.5万亿元（15708亿元），比2020年同期增长8.3%。
113,,10:21,【同程生活申请破产重整】天眼查显示，7月28日，同程生活关联公司苏州鲜橙科技有限公司新增破产重整案件。申请人及被申请人均为苏州鲜橙科技有限公司，案号（2021）苏0591破申72号。经办法院为苏州工业园区人民法院。根据天眼查融资历程信息显示，苏州鲜橙科技有限公司此前曾获欢聚时代、君联资本、真格基金、同程资本等多家机构投资。
110,,10:25,【乐视成立新公司乐嗨】7月26日，乐视乐嗨文化传媒（北京）有限公司成立，注册资本1000万人民币，法定代表人为孟宇。公司经营范围含组织文化艺术交流活动；软件开发；体育咨询；动漫设计；文化娱乐经纪人服务；广播电视节目制作等。股东信息显示，该公司由乐视网信息技术（北京）股份有限公司间接全资控股，最终受益人为贾跃亭。
111,,10:25,【沪深两市成交额突破5000亿元】截至目前，沪深两市成交额突破5000亿元，其中沪市成交额2139亿元，深市成交额2884亿元。
112,,10:25,德国疾控机构罗伯特·科赫研究所：德国新增3520例新冠肺炎确诊病例，累计达3769608例，新增10例死亡病例，累计达91702例。
109,,10:27,白酒股领跌两市，舍得酒业、海南椰岛跌逾5%，水井坊跌超4%，山西汾酒、老白干酒、洋河股份等个股跟跌。
108,,10:28,科创创业50指数高开，$创50ETF(SH588380)$ 涨超3%，成交额超5000万!锂电池、光伏、芯片板块集体共振，中环股份、天合光能、闻泰科技、天齐锂业等大白马集体冲高。
107,,10:29,【陆正耀累计被执行总额超21亿】天眼查App显示，近日，陆正耀新增一则终本案件，关联案件涉及上海浦银安盛资产管理有限公司与陆正耀的合同纠纷，该案于2021年1月立案，陆正耀被列为被执行人，执行标的约13.67亿元，2月因其未履行给付义务被限制高消费，7月该案件成终本案件。此外，天眼查显示，当前陆正耀共有2条被执行人信息，当前被执行总金额超21亿。
106,,10:31,【南京7月20日至今累计报告本土确诊病例171例】7月29日，南京举行第九场疫情防控新闻发布会，据介绍，7月20日至今，南京市累计报告本土确诊病例171例（其中轻型78例、普通型86例，重型患者7例）。
105,,10:31,【白酒板块继续回落】舍得酒业跌近6%，水井坊、青青稞酒、山西汾酒、海南椰岛跌超4%。
104,,10:34,恒大汽车涨幅扩大至20%。
103,,10:35,【东京奥组委：新增24名东京奥运会相关人士新冠检测阳性，包括3名运动员】 日本共同社刚刚消息，东京奥组委29日发布消息称，新增24名东京奥运会相关人士新冠病毒检测呈阳性。报道称，这是东京奥组委自7月1日起通报相关信息中的最高数据。（环球网）
102,,10:36,【一线城市房贷调查： 沪穗房贷“涨价” 北京多行额度吃紧】 一线城市部分银行网点的普遍反馈是，目前房贷额度紧张，放款时间难料。同时，还有银行工作人员提醒说：“由于放款时间不确定，购房者一定要注意贷款合同的签约时间，避免面临违约风险。”IPG中国首席经济学家柏文喜表示，从目前的行业态势来看，下半年住房信贷进一步收紧的可能性是存在的，而房贷利率作为调节供给总量的价格工具，未来不排除继续上升的可能。（证券日报）
99,,10:41,【北方稀土早盘触及涨停】北方稀土早盘触及涨停，成交额67.24亿元 。
97,,10:41,港股科技股短线拉升，京东、网易涨超11%，腾讯控股涨7%，阿里巴巴涨5.5%。
98,,10:41,【稀土永磁板块再度走强】北方稀土再度涨停，包钢股份、五矿稀土、龙磁科技等涨超7%。
101,,10:41,【中国新任驻美大使：中美关系的大门已经打开，就不会关上】中国新任驻美国大使秦刚28日抵达美国履新。他在华盛顿表示，中美关系的大门已经打开，就不会关上，这是时代潮流，大势所趋，民心所向。（新华社）
100,,10:41,【苏宁易购股东大会今日召开，阿里或开启全面接管】引入战略投资者后，苏宁易购将成为一家表面上“无实际控制人”的公司。今天（7月29日）下午召开的股东大会的表决结果，或将意味着阿里系对苏宁易购“全面接管”的开始。从接近消息人士处了解到，如果不出意外，阿里提名的黄明端进入董事会并出任新一任董事长；苏宁易购张近东之子张康阳进入董事会，成为新任董事会的非独立董事。（腾讯潜望）
96,,10:42,美、布两油期货短线拉升约0.3美元，现分别报72.71美元/桶和74.14美元/桶。
95,,10:44,【港股京东集团上涨12%】京东集团上涨12%，创纪录以来最大涨幅。
94,,10:45,市场研究公司CANALYS：中国智能手机出货量VIVO、OPPO仍位居前二，小米取代华为排名第三，苹果排第四，荣耀进入前五。2021年第二季中国智能手机出货量下降17%至7490万部。
93,,10:50,【第二批欧盟成员国经济复苏计划正式获批】 欧盟理事会28日宣布，经评估后正式批准克罗地亚、塞浦路斯、立陶宛和斯洛文尼亚四国的经济复苏计划。至此，已有16个欧盟成员国的经济复苏计划获批。（新华社）
91,,10:52,北向资金净流入达20亿元。
92,,10:52,南京部分区域疫情风险等级调整，江宁区禄口街道全域调整为高风险地区。
90,,10:54,南京市卫健委副主任：将湖熟街道钱家村钱家自然村、东山街道岔路社区绿城深蓝小区。麒麟街道麒麟门社区麒西路95号、雨花台区凤翔新城1期、建邺区南苑街道吉庆家园小区、秦淮区中华门街道晨光新苑16栋调整为中风险地区。
89,,11:00,【丰田延长泰国工厂关闭时间】由于东南亚地区正在努力应对最致命的新冠病毒，丰田汽车将泰国工厂的停产时间延长至整个周。丰田在泰国的三家工厂将因新冠肺炎造成的相关部件短缺而暂停运营；不清楚何时恢复生产。丰田在泰国工厂的年生产能力为76万辆。丰田汽车泰国工厂原计划于7月21日至28日停产。
87,,11:00,【交通运输部：目前河南交通总体运行平稳有序】交通运输部新闻发言人孙文剑介绍，截至目前，河南省交通运输行业总体运行平稳有序。其中，铁路方面，除个别线路区间中断、封锁、双线改单线运行外，其余主要干线均恢复了通车。公路方面，高速公路和国省干线公路整体畅通有序。民航方面，郑州新郑机场7月27日晚已经全面恢复运营，目前航班起降架次已经达到暴雨发生前水平，日均600架次。邮政方面，行业运行全面恢复，没有快件积压。
88,,11:00,南京开启第三轮大规模核酸检测，计划31日中午12时全部结束。
86,,11:03,【交通运输部：我国港口一线从业人员疫苗接种率超过97%】在29日的交通运输部例行发布会上，交通运输部新闻发言人孙文剑表示，今年5月，交通运输部修订印发了第六版的《港口及其一线人员新冠肺炎疫情防控工作指南》，因时因势调整疫情防控措施，突出重点，做好外防输入工作，加强个人防护，港口一线从业人员疫苗接种率超过97%，高风险岗位人员实现疫苗应接尽接。自6月15日起，未完成疫苗接种人员不得登轮作业。
85,,11:03,【百济神州：百泽安、百汇泽、倍利妥进入国内药品目录】7月26日，由北京市医疗保障局、北京市地方金融监管局共同指导的“北京普惠健康保”正式发布。百济神州百泽安®（通用名：替雷利珠单抗注射液）、百汇泽®（通用名：帕米帕利胶囊）、倍利妥®（通用名：注射用贝林妥欧单抗）被纳入国内药品目录。
84,,11:04,【腾讯控股强势反弹近9% 超越台积电重返中国第一大市值公司】腾讯控股跌后强势反弹，股价大涨8.7%，最新报486港元，市值4.66万亿港元，折合5993亿美元，超越台积电的5968亿美元，重返中国第一大市值公司。
